,Year,County,Industry.sector,Chemical,Clean.air.act.chemical,Classification,Metal,Metal.category,Carcinogen,PFAS,Fugitive.air.emissions,Stack.air.emissions,Surface.water.discharges,Class.1.well.injections,Class.2.well.injections,RCRA.landfill,non-RCRA.landfill,Land.treatment.application.farming,RCRA.surface.impoundment,non-RCRA.surface.impoundment,non.landfill.land.treatment.surface.impoundment.disposal,Onsite.total.release,POTW.transfers.for.release.disposal.,POTW.transfers.for.treatment,POTW.total.transfers,transfer.for.storage.only,transfer.for.solidification,transfer.of.wastewater.treatment,transfer.of.m40.metal,transfer.of.m61.metal,transfer.for.underground.injection,transfer.for.class1.injection,transfer.for.class2.injection,transfer.for.landfills.surface.impoundments,transfer.for RCRA.subtitle3.surface.impoundments,transfer.of.other.surface.impoundments,transfer.to.other.landfills,transfer.to.RCRA.subtitle3.landfills,transfer.for.land.treatment,transfer.for.land.disposal,transfer.for.other.offsite.management,transfer.to.waste.broker,unknown.transfer,offsite.release.total,transfer.of.solvents/organics,transfer.for.metals.recovery,transfer.for.other.recovery/reuse,transfer.for.acid.regeneration,transfer.to.waste.broker,off.site.recycled.total,transfer.for.energy.recover,transfer.to.waste.broker/energy.recovery,offsite.energy.recovery.total,non-metal.solidification/stabilization,transfer.for.incineration/thermal.treatment,transfer.for.incineration/insignificant.fuel.value,transfer.of.m61.non.metal,transfer.for.other.waste.treatment,transfer.to.waste.broker/waste.treatment,offsite.treated.total,total.quantity.of.unclassified,total.offsite.transfer.quantity,on.site.and.off.site.total.releases,some.other.total.releases,onsite.contained.releases,onsite.other.releases,offsite.contained.releases,offsite.other.releases,energy.recovery.onsite,energy.recovery.offsite,recycling.onsite.,recycling.offsite,treatment.onsite,treatment.offsite,production.waste,one.time.release,production.ratio.or.activity.index,production.ratio
32,2014,SCHENECTADY,Machinery,Nickel,YES,TRI,YES,1,YES,NO,750,0,0,0,0,0,0,0,0,0,0,750,250,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,42100,0,0,0,42100,0,0,0,0,0,0,0,0,0,0,0,42350,1000,0,0,750,170,80,0,0,0,42100,0,0,43100,NA,PRODUCTION,1.09
33,2014,NIAGARA,Chemicals,Diisocyanates,YES,TRI,NO,0,NO,NO,43,4286,0,0,0,0,0,0,0,0,0,4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4329,0,0,4329,0,0,0,0,0,0,0,0,4329,NA,PRODUCTION,1.1
34,2014,NASSAU,Fabricated Metals,Chromium,YES,TRI,YES,1,NO,NO,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,1150,0,8400,0,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,9550,1155,0,0,5,0,1150,0,0,0,8400,0,0,9555,NA,PRODUCTION,1
35,2014,JEFFERSON,Petroleum Bulk Terminals,Benzene,YES,TRI,NO,0,YES,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,NA
36,2014,ONONDAGA,Electrical Equipment,Zinc compounds,NO,TRI,YES,1,NO,NO,0,0,18,0,0,0,0,0,0,0,0,18,30.29,0,30.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.29,48.29,0,0,18,19.9914,10.2986,0,0,0,0,0,0,48.29,NA,PRODUCTION,1.03
37,2014,SARATOGA,Fabricated Metals,n-Butyl alcohol,NO,TRI,NO,0,NO,NO,2600,11000,0,0,0,0,0,0,0,0,0,13600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82,0,16,0,0,0,0,16,0,98,13600,0,0,13600,0,0,0,82,0,0,119100,16,132798,NA,PRODUCTION,1.03
38,2014,SENECA,Petroleum Bulk Terminals,"Benzo[g,h,i]perylene",YES,PBT,NO,0,NO,NO,5.00E-04,0.0116,0,0,0,0,0,0,0,0,0,0.0121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121,0,0,0.0121,0,0,0,0,0,0,0,0,0.0121,NA,ACTIVITY,1
39,2014,KINGS,Petroleum Bulk Terminals,Xylene (mixed isomers),YES,TRI,NO,0,NO,NO,504,115,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,64,0,0,94,0,0,94,16,0,16,0,0,0,0,0,0,0,0,174,683,0,0,619,64,0,0,16,0,94,0,0,793,0,PRODUCTION,1.02
40,2014,SUFFOLK,Computers and Electronic Products,Lead,YES,PBT,YES,1,YES,NO,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,27.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0,5949.47,0,0,0,5949.47,0,0,0,0,0,0,0,0,0,0,0,5976.71,27.29,0,0,0.05,0,27.24,0,0,0,3949.47,0,0,3976.76,2000,ACTIVITY,1
41,2014,NIAGARA,Primary Metals,Lead compounds,YES,PBT,YES,1,NO,NO,0.35,23.3,0,0,0,0,0,0,0,0,0,23.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.65,0,0,23.65,0,0,0,0,0,0,0,0,23.65,NA,PRODUCTION,0.92
